Designator,Mid X,Mid Y,Rotation,Layer
RGB26,252.12076,-77.099974,0.0,bottom
RGB27,227.22076,-100.199974,0.0,bottom
RGB28,202.96924,-77.110025,180.0,bottom
RGB29,171.224974,-68.75424,270.0,bottom
RGB3,108.13076,-77.099974,0.0,bottom
RGB30,171.224974,-84.75424,270.0,bottom
RGB31,171.224974,-100.75424,270.0,bottom
RGB32,171.224974,-116.75424,270.0,bottom
RGB33,187.22924,-132.760025,180.0,bottom
RGB34,203.22924,-132.760025,180.0,bottom
RGB35,219.22924,-132.760025,180.0,bottom
RGB36,235.22924,-132.760025,180.0,bottom
RGB37,251.22924,-132.760025,180.0,bottom
RGB38,267.22924,-132.760025,180.0,bottom
RGB39,267.23076,-148.749974,0.0,bottom
RGB4,83.23076,-100.199974,0.0,bottom
RGB40,251.23076,-148.749974,0.0,bottom
RGB41,235.23076,-148.749974,0.0,bottom
RGB42,219.23076,-148.749974,0.0,bottom
RGB43,203.23076,-148.749974,0.0,bottom
RGB44,187.23076,-148.749974,0.0,bottom
RGB45,267.23076,-164.749974,0.0,bottom
RGB46,251.23076,-164.749974,0.0,bottom
RGB47,252.12076,-221.099974,0.0,bottom
RGB48,227.22076,-244.199974,0.0,bottom
RGB49,202.96924,-221.110025,180.0,bottom
RGB5,43.22924,-132.760025,180.0,bottom
RGB50,227.21924,-196.510025,180.0,bottom
RGB51,235.23076,-164.749974,0.0,bottom
RGB52,219.23076,-164.749974,0.0,bottom
RGB53,203.23076,-164.749974,0.0,bottom
RGB54,187.23076,-164.749974,0.0,bottom
RGB55,171.224974,-180.75424,270.0,bottom
RGB56,171.224974,-196.75424,270.0,bottom
RGB57,171.224974,-212.75424,270.0,bottom
RGB58,171.224974,-228.75424,270.0,bottom
RGB59,171.224974,-244.75424,270.0,bottom
RGB6,59.22924,-132.760025,180.0,bottom
RGB60,171.224974,-260.75424,270.0,bottom
RGB61,155.235025,-260.75576,90.0,bottom
RGB62,155.235025,-244.75576,90.0,bottom
RGB63,155.235025,-228.75576,90.0,bottom
RGB64,155.235025,-212.75576,90.0,bottom
RGB65,155.235025,-196.75576,90.0,bottom
RGB66,155.235025,-180.75576,90.0,bottom
RGB67,139.235025,-260.75576,90.0,bottom
RGB68,139.235025,-244.75576,90.0,bottom
RGB69,83.23076,-244.199974,0.0,bottom
RGB7,75.22924,-132.760025,180.0,bottom
RGB70,58.97924,-221.110025,180.0,bottom
RGB71,83.22924,-196.510025,180.0,bottom
RGB72,108.13076,-221.099974,0.0,bottom
RGB73,139.235025,-228.75576,90.0,bottom
RGB74,139.235025,-212.75576,90.0,bottom
RGB75,139.235025,-196.75576,90.0,bottom
RGB76,139.235025,-180.75576,90.0,bottom
RGB77,123.23076,-164.749974,0.0,bottom
RGB78,107.23076,-164.749974,0.0,bottom
RGB79,91.23076,-164.749974,0.0,bottom
RGB8,91.22924,-132.760025,180.0,bottom
RGB80,75.23076,-164.749974,0.0,bottom
RGB81,59.23076,-164.749974,0.0,bottom
RGB82,43.23076,-164.749974,0.0,bottom
RGB83,43.22924,-148.760025,180.0,bottom
RGB84,59.22924,-148.760025,180.0,bottom
RGB85,75.22924,-148.760025,180.0,bottom
RGB86,91.22924,-148.760025,180.0,bottom
RGB87,107.22924,-148.760025,180.0,bottom
RGB88,123.22924,-148.760025,180.0,bottom
RGB9,107.22924,-132.760025,180.0,bottom
SW1,115.00784,-21.95736,270.0,bottom
SW2,119.70784,-21.81736,270.0,bottom
SW3,178.266,-20.689,0.0,bottom
U1,198.181,-35.559,90.0,bottom
U3,102.48802,-31.90814,0.0,bottom
U6,125.50802,-31.20064,90.0,bottom
